"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"169.","What should you do if your power steering fails while driving?","Release the steering wheel","Pull off the road as soon as it is safe to do so","Change gears","None of the above","2","Section 3.7, C, “Loss of Power Steering” states, “Keep a steady grip on your steering wheel if your power steering fails. Steering will be challenging, but you should still be capable of turning the wheel if you grip it tightly enough. Pull off the road as soon as it is safe to do so.” "
"170.","What is the first thing you should try to do if your accelerator is stuck while driving?","Use your hand or foot to lift the accelerator","Drive faster","None of the above","","1","Section 3.7, D, “Stuck Accelerator” states, “If your accelerator is stuck, use your foot or hand to pull up on it.” "
"171.","What should you do if your vehicle stalls while driving?","Keep driving","Pull over to the side of the road","Make repairs on the road","None of the above","2","Section 3.7, E, “Stalled Vehicle” states, “Pull over to the side of the road if your vehicle stalls. Try to get entirely on the shoulder of the road.” "
"172.","What should you do if your vehicle stalls on railroad tracks?","Stay in the vehicle","Get out of the vehicle and get away from the tracks as soon as possible","Keep trying to drive","","2","Section 3.7, E, “Stalled Vehicle” states, “What about if your car stalls on railroad tracks? Your top priority should be to get all passengers out of the car and get away from the car as soon as possible.”"
"173.","What should you do if your hood latch fails while driving?","Speed up","Slow down and look at the centerline of the road, then safely get off the road as soon as possible","Ignore the failure","None of the above","2","Section 3.7, F, “Hood Latch Failure” states, “Your hood latch secures your hooD) If the latch stops working, slow down and look at the centerline of the road to help guide your steering. You can look through your window or the windshield under your hood. Guide your vehicle off the road as quickly and safely as you can.” "
"174.","What should you do if your headlights fail while driving?","Pull over in a well-lit area","Keep driving","Turn up the interior lights on the dashboard","","1","Section 3.7, G, “Headlight Failure” states, “If your headlights dim while you are driving, try dimming the interior lights on the dashboard. Sometimes this will redistribute power to your headlights until you can get to a safe place to inspect them. If the headlights stop working altogether, pull over in a well-lit area.” "
"175.","What should you do if your vehicle experiences a breakdown on the freeway?","Continue driving","Follow steps to safely change lanes and pull over to the shoulder","Stop in the middle of the freeway","None of the above","2","Section 3.7, H, “Breakdowns” states, “If your vehicle experiences a breakdown on the freeway and you cannot safely exit to a side street or parking lot, follow the steps to safely change lanes (including checking traffic around you and signaling you are changing lanes). Then, carefully maneuver your vehicle to the shoulder, outside any operating traffic lanes.”"
"176.","What is the first thing to do if you need to re-enter the freeway after experiencing a vehicle breakdown?","Signal that you are re-entering traffic","Stay on the shoulder","Move into other lanes without checking for hazards","None of the above","1","Section 3.7, H, “Breakdowns” states,“ If you can resolve the situation without a tow truck or other emergency vehicle, and your vehicle is safe to return to the freeway . . . [t]urn your signal on to indicate you are rejoining traffic.” "
"177.","What should you do if you are parked at the side of the road and need help?","Get out of the vehicle","Stay in the vehicle with doors locked and seat belt fastened","Unlock the doors for strangers","None of the above","2","Section 3.8, I, “What to Do When Parked at the Side of the Road” states, “Once at the side of the road, you are safest if you stay in your vehicle with the doors locked and your seat belt fastened . . . If strangers come up to your car, keep your windows rolled up, and don’t unlock your doors.” "
"178.","You should always yield to bicyclists the same way you do for other vehicles.","True","False","","","1","Section 3.8, B, “Driving Safely Around Bicycles” states, “When you encounter a cyclist at an intersection, you should assume that they are traveling straight unless they give a turn signal, and always yield to bicyclists in the same way that you would yield to other vehicles.”"
"179.","If you experience brake failure and your vehicle doesn't have ABS, you should pump the brakes at least four times to check if your brakes have taken hold.","True","False","","","1","Section 3.7, B, “Brake Failure” states, “How you react to brake failure will partially depend on whether you have an anti-lock braking system. If your vehicle doesn’t have ABS, pump the brakes four times. At that point, you should be able to tell if your brakes have taken hold.” "
"180.","If you are going down a steep hill and your brakes fail, you should downshift to the first gear.","True","False","","","1","Section 3.7, B, “Brake Failure” states, “Other actions to take if your brakes fail include . . . [d]ownshifting to the second or third gear if you are going down a steep hill. “ "
"181.","If your power steering fails, it will be difficult, but it should be possible to turn the wheel by gripping it tightly.","True","False","","","1","Section 3.7, C, “Loss of Power Steering” states, “Keep a steady grip on your steering wheel if your power steering fails. Steering will be challenging, but you should still be capable of turning the wheel if you grip it tightly enough.” "
"182.","If your accelerator is stuck and you can’t lift it, you should put your car in neutral gear.","True","False","","","1","Section 3.7, D, “Stuck Accelerator” states, “If lifting [the accelerator] doesn’t work, put your car in the neutral gear position. Doing this will stop it from accelerating more.” "
"183.","If your vehicle stalls, you should try to get out on the side that is furthest away from the traffic lanes.","True","False","","","1","Section 3.7, E, “Stalled Vehicle” states, “If you have to get out of your vehicle, get out on the side that is furthest away from lanes of traffic.“ "
"184.","If your vehicle stalls on railroad tracks, your top priority should be to get yourself and all passengers away from the car as soon as possible.","True","False","","","1","Section 3.7, E, “Stalled Vehicle” states, “What about if your car stalls on railroad tracks? Your top priority should be to get all passengers out of the car and get away from the car as soon as possible.”"
"185.","Why should you dim your headlights when following a truck at night or in low-light conditions?","To avoid being rear-ended by the truck","So that the truck's headlights don't blind you","To avoid rear-ending the truck","To avoid blinding the truck driver","4","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “Make sure to dim your headlights while following behind a truck at night or in low-light conditions to prevent your car’s headlights from blinding the truck driver as they bounce off the side mirrors and into the truck's cab.”"
"186.","Why is it dangerous to tailgate a truck or other large commercial vehicle?","Their side and rear blind spots are significantly larger","They are much faster than cars","They are much more maneuverable than cars","They are much lighter than cars","1","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “The side and rear blind spots of trucks and buses are significantly larger than those of a standard passenger vehicle, making tailgating a truck or other large commercial vehicle particularly unsafe.”"
"187.","Why should you leave extra stopping distance when following behind a truck?","To avoid rear-ending the truck if it brakes faster than your car can stop","To avoid being rear-ended by the truck if you have to stop quickly","To prevent the truck from being blinded by your headlights","To allow the truck to see your car behind them","1","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “You should leave extra stopping distance when following behind a truck because otherwise, you might rear-end the truck if it brakes faster than your car can stop.”"
"188.","What should you make sure to do when stopped behind a truck on an uphill?","Keep your car toward the right side of your lane","Keep your car toward the left side of your lane so the truck driver can see your car","Cross behind the truck if it's backing up","","2","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “When stopped behind a truck on an uphill . . . keep your car toward the left side of your lane (without leaving your lane at all), so the driver of the truck can see your car behind them.”"
"189.","When passing a truck, what should you keep in mind about your car's speed?","Pass the truck as slowly as possible","Pass the truck as quickly as possible without lingering","Pass the truck as slowly as possible","Pass the truck at the same speed as the truck","2","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “Pass the truck as quickly as possible without lingering next to it.”"
"190.","You should not cross behind a truck that is backing up/about to back up because you might pass into their blind spot and risk a collision.","True","False","","","1","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “Trucks may be unable to avoid blocking a street while backing up, so make sure to avoid crossing behind a truck that is backing up or about to back up. You might pass into their blind spot, risking a collision.”"
"191.","When passing a truck from the opposite direction, why should you keep your car as far over as possible?","To reduce the risk of sideswiping the truck","To minimize wind turbulence between your car and the truck","To avoid blinding the truck driver","A and B","4","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “When passing a truck from the opposite direction, keep your car as far over as possible to reduce the risk of sideswiping the truck and minimize wind turbulence between your car and the truck.”"
"192.","According to Florida law, a bicycle has the same privileges, rights and responsibilities on public roads (besides limited access highways) as a motor vehicle.","True","False","","","1","Section 3.8, B, “Driving Safely Around Bicycles” states, “Florida law defines a bicycle as a vehicle with ‘all of the privileges, rights, and responsibilities on public roads (except limited access highways)’ of a motor vehicle.”"
"193.","How much clearance should motorists give bicyclists in Florida?","One foot","Two feet","Three feet","Four feet","3","Section 3.8, B, “Driving Safely Around Bicycles” states, “Motorists are required to give bicyclists at least three feet of clearance, slowing down and using caution while passing.”"
"194.","When following behind a truck at night, it's recommended to dim your headlights.","True","False","","","1","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “Make sure to dim your headlights while following behind a truck at night or in low-light conditions.”"
"195.","Trucks can have more stability than cars on wet/slippery roads.","True","False","","","1","Section 3.8, B, “Driving Safely Around Bicycles” states, “Trucks can have more stability [than cars] on wet/slippery roads or when traveling at typical highway speeds.”"
"196.","When passing a truck, you should make sure to be able to see the cab in your rearview mirror before pulling in front of the truck.","True","False","","","1","Section 3.8, A, “Driving Safely Around Trucks and Other Large, Slow-Moving Vehicles” states, “While passing, before you pull in front of a truck, ensure you’re able to see the cab in your rearview mirror to ensure you’re leaving enough space.”"
"197.","When encountering a bicyclist at an intersection, you should yield to them in the same way as you would for any other vehicle.","True","False","","","1","Section 3.8, B, “Driving Safely Around Bicycles” states, “When you encounter a cyclist at an intersection, you should assume that they are traveling straight unless they give a turn signal, and always yield to bicyclists in the same way that you would yield to other vehicles.”"
"198.","When opening your driver's side door while parallel parked, it's not necessary to check for approaching cyclists.","True","False","","","2","Section 3.8, B, “Driving Safely Around Bicycles” states, “When you have parallel parked your car, do not open your driver’s side door until you have checked that there are no approaching cyclists.”"
"199.","High-beam headlights can be used when a cyclist is approaching from the opposite direction.","True","False","","","2","Section 3.8, B, “Driving Safely Around Bicycles” states, “Do not use high-beam headlights when a cyclist is approaching from the opposite direction to avoid blinding them.”"
"200.","Florida right-of-way rules determine who must yield the right of way in different driving conditions, not who has the right of way.","True","False","","","1","Section 3.9, A, “What Are Right-of-Way Rules?” states, “Legally speaking, no one ever has the right of way in Florida. The law only states who mustyield the right of way.” "
"201.","What is the legal responsibility of drivers, cyclists, and pedestrians in Florida?","To always have the right of way","To yield the right-of-way to other vehicles and pedestrians","To do everything possible to avoid a crash","","3","Section 3.9, A, “What Are Right-of-Way Rules?” states, “According to the State of Florida website, it is the legal responsibility of ‘every driver, motorcyclist, moped rider, bicyclist and pedestrian . . . [to] do everything possible to avoid a crash.’”"
"202.","At a four-way stop, the right-of-way rule states that the first vehicle to stop should be the first to move forward.","True","False","","","1","Section 3.9, B, i, “Stop Signs and Four-Way Stops” states, “The right-of-way rule at four-way stops dictates that the first vehicle to stop should be the first to move forward.”"
"203.","Who has the right-of-way in a funeral procession in Florida?","The funeral procession","Pedestrians","Cars","","1","Section 3.9, B, ii, “Funeral Procession Right-of-Way” states, “Funeral processions always have the right-of-way in Florida, except when yielding to emergency vehicles that are sounding their alarms or when directed to yield by a police officer.”"
"204.","In Florida, what should a driver do when approaching an open intersection where another vehicle is already waiting?","Stop and yield the right-of-way","Speed up and enter the intersection","Make a left turn without yielding","","1","Section 3.9, B, iii, “Open Intersections” states, “When driving toward an open intersection, you are required to yield the right-of-way if a vehicle is already waiting at the intersection or entering the intersection.”"
"205.","What is the purpose of roundabouts?","To streamline the flow of traffic","To stop vehicles at intersections","To lower the rate of traffic accidents","A and C","4","Section 3.9, B, iv, “Roundabouts” states, “You are not required to stop at most roundabouts, which keeps vehicles moving through intersections at a relatively slow speed. This is why roundabouts are able to streamline the flow of traffic while also lowering the rate of traffic accidents.”"
"206.","You are required to stop at most roundabouts.","True","False","","","2","Section 3.9, B, iv, “Roundabouts” states, “You are not required to stop at most roundabouts, which keeps vehicles moving through intersections at a relatively slow speed.”"
"207.","Open intersections are intersections without any traffic control signs/signals.","True","False","","","1","Section 3.9, B, iii, “Open Intersections” states, “Open intersections are those that lack any traffic control signs or signals.”"
"208.","Roundabouts lower the rate of traffic accidents.","True","False","","","1","Section 3.9, B, iv, “Roundabouts” states, “Roundabouts are able to streamline the flow of traffic while also lowering the rate of traffic accidents.”"
"209.","What is the standard speed limit in school zones in Florida?","20 mph","25 mph","30 mph","35 mph","1","Section 3.10, A, “Standard Speed Limits for Various Areas in Florida” states, “Standard speed limits in the state of Florida are as follows: . . . School zones: 20 mph.”"
"210.","It is considered a moving violation to exceed the speed limit in a school zone in Florida.","True","False","","","1","Section 3.10, B, “School Zones” states, “Exceeding the speed limit in a school zone is considered to be a moving violation, with specific fines depending on the severity of one’s speeding (from $50 for exceeding the speed limit by 1–5 mph to $500 for exceeding the speed limit by 30 mph or more).”"
"211.","What is the standard speed limit for streets and highways in Florida?","20 mph","30 mph","55 mph","70 mph","3","Section 3.10, A, “Standard Speed Limits for Various Areas in Florida” states, “Standard speed limits in the state of Florida are as follows: . . . Streets and highways: 55 mph.”"
"212.","What is the standard speed limit for limited access highways in Florida?","20 mph","30 mph","55 mph","70 mph","4","Section 3.10, A, “Standard Speed Limits for Various Areas in Florida” states, “Standard speed limits in the state of Florida are as follows: . . . Limited access highways: 70 mph.”"
"213.","What is the minimum distance one must stop from the nearest rail of a railroad crossing in Florida?","15 feet","25 feet","50 feet","75 feet","1","Section 3.11, “Railroad Crossings” states, “Florida Statute 316.1575 . . . states that anyone ‘driving a vehicle and approaching a railroad-highway grade crossing under any of the circumstances stated in this section shall stop within 50 feet but not less than 15 feet from the nearest rail of such railroad and shall not proceed until he or she can do so safely.’”"
"214.","What is the maximum distance one must stop from the nearest rail of a railroad crossing in Florida?","15 feet","25 feet","50 feet","75 feet","3","Section 3.11, “Railroad Crossings” states, “Anyone ‘driving a vehicle and approaching a railroad-highway grade crossing under any of the circumstances stated in this section shall stop within 50 feet but not less than 15 feet from the nearest rail of such railroad and shall not proceed until he or she can do so safely.’”"
"215.","It is considered a noncriminal traffic infraction if a driver stops within 15 feet of a railroad crossing when a traffic control device is signaling the imminent approach of a train.","True","False","","","1","Section 3.11, “Railroad Crossings” states, “Suppose a driver stops within 15 feet of a railroad crossing when a traffic control device is signaling the imminent approach of a train. In that case, it is considered a noncriminal traffic infraction and, more specifically, a moving violation.”"
"216.","It is necessary to adjust your driving speed based on your surroundings.","True","False","","","1","Section 3.10, “Speed Adjustment in Relationship to Surroundings” states, “It is . . . essential to adjust your driving speed based on your surroundings.”"
"217.","What is the purpose of standard speed limits in Florida?","To minimize the likelihood and seriousness of automobile accidents","To maximize the speed of vehicles","To increase the risk of collisions","","1","Section 3.10, “Speed Adjustment in Relationship to Surroundings” states, “[It is] essential to obey the speed limit to minimize both the likelihood and the seriousness of automobile accidents.”"
"218.","Why do school zones have the lowest standard speed limits in Florida?","To protect schoolchildren from automobile accidents","To maximize the speed of vehicles in school zones","To promote the flow of traffic","","1","Section 3.10, B, “School Zones” states, “School zones have the lowest standard speed limits to help protect schoolchildren from automobile accidents.”"
"219.","A lowered crossing gate at a railroad crossing is one of the signals that a train is approaching.","True","False","","","1","Section 3.11, “Railroad Crossings” states, “Signals that indicate a train is approaching include the following: . . . Lowered crossing gate.”"
"220.","What does Florida Statute 316.1575 state about approaching a railroad-highway grade crossing?","The driver must stop between 50 and 15 feet from the nearest rail of the railroad","The driver must not proceed until they can do so safely","The driver must stop at least 75 feet from the nearest rail of the railroad","Both A and B","4","Section 3.11, “Railroad Crossings” states, “Florida Statute 316.1575 . . . states that anyone ‘driving a vehicle and approaching a railroad-highway grade crossing under any of the circumstances stated in this section shall stop within 50 feet but not less than 15 feet from the nearest rail of such railroad and shall not proceed until he or she can do so safely.’”"
"221.","Which of the following is a signal that indicates a train is approaching a railroad crossing?","A human flagger warning of the approaching train","A raised crossing gate","A speed limit sign","A stop sign","1","Section 3.11, “Railroad Crossings” states, “Signals that indicate a train is approaching include the following: . . . Human flagger warning of approaching train.”"
